cpuName,price,cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,testDate,socket,category
Intel Core i5-12500,202,20309,100.54,3759,18.61,65,312.45,6,2022,LGA 1700,Desktop
"Intel Core i9-10900E @ 2.80GHz,444,20658,46.53,2969,6.69,65,317.82,10,2021,FCLGA1200,""Desktop, Mobile/Embedded"""
AMD Ryzen 5 PRO 5650G,,20633,,3234,,65,317.42,6,2021,AM4,Desktop
Intel Core i7-11700 @ 2.50GHz,316.99,20588,64.95,3146,9.92,95,216.72,8,2021,FCLGA1200,Desktop
AMD Ryzen 7 PRO 4750G,299.99,20570,68.57,2710,9.03,65,316.46,8,2020,AM4,Desktop
Intel Core i9-9900KS @ 4.00GHz,898.3,19518,21.73,3039,3.38,127,153.69,8,2019,FCLGA1151-2,Desktop
AMD Ryzen 5 5500,159,19949,125.46,3096,19.47,65,306.9,6,2022,AM4,Desktop
Intel Core i5-12400F,174.98,19659,112.35,3567,20.39,65,302.44,6,2022,FCLGA1700,Desktop
Intel Core i9-10900 @ 2.80GHz,389.97,20446,52.43,3057,7.84,65,314.55,10,2020,FCLGA1200,Desktop
